year,estratopri,aoj21,colseg,ur,q1,q2,m1,trust,pr5,ideologia
2021.0,Oriental,Guerrillas,Peor,,,39.0,Neutra,,,Derecha
2021.0,Bogotá,Delincuentes comunes,Peor,,,31.0,Neutra,,,Izquierda
2021.0,Bogotá,Crimen organizado,Peor,,,37.0,Neutra,,,Centro izquierda
2021.0,Central,Ninguno,Mejor,,,50.0,Neutra,,,
2021.0,Bogotá,,,,,40.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,46.0,Negativa,,,Centro derecha
2021.0,Pacífica,,,,,77.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,44.0,Negativa,,,Derecha
2021.0,Central,Delincuentes comunes,Peor,,,25.0,Negativa,,,Centro derecha
2021.0,Bogotá,Crimen organizado,Peor,,,30.0,Neutra,,,Centro
2021.0,Atlántica,,,,,54.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,44.0,Neutra,,,Izquierda
2021.0,Bogotá,,,,,54.0,,,,
2021.0,Oriental,,,,,31.0,,,,
2021.0,Central,,,,,54.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,46.0,Neutra,,,
2021.0,Atlántica,,,,,26.0,,,,
2021.0,Bogotá,,,,,26.0,,,,
2021.0,Pacífica,Crimen organizado,Peor,,,29.0,Negativa,,,
2021.0,Bogotá,,,,,54.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,27.0,Negativa,,,Centro derecha
2021.0,Atlántica,Guerrillas,Peor,,,44.0,Neutra,,,Derecha
2021.0,Pacífica,,,,,44.0,,,,
2021.0,Atlántica,,,,,44.0,,,,
2021.0,Bogotá,,,,,27.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,44.0,Negativa,,,
2021.0,Bogotá,Crimen organizado,Peor,,,33.0,Neutra,,,
2021.0,Bogotá,,,,,31.0,,,,
2021.0,Amazonia,Delincuentes comunes,Igual,,,46.0,Positiva,,,Derecha
2021.0,Bogotá,,,,,40.0,,,,
2021.0,Central,Ninguno,Igual,,,53.0,Neutra,,,Derecha
2021.0,Bogotá,,,,,40.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,59.0,Positiva,,,
2021.0,Atlántica,Crimen organizado,Peor,,,49.0,Neutra,,,Centro
2021.0,Atlántica,,,,,39.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,35.0,Negativa,,,Centro derecha
2021.0,Oriental,,,,,42.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,55.0,Negativa,,,Centro izquierda
2021.0,Atlántica,Ninguno,Mejor,,,53.0,Positiva,,,Centro derecha
2021.0,Atlántica,Delincuentes comunes,Peor,,,60.0,Neutra,,,
2021.0,Oriental,,,,,33.0,,,,
2021.0,Bogotá,,Peor,,,51.0,Positiva,,,
2021.0,Atlántica,Crimen organizado,Peor,,,34.0,Negativa,,,
2021.0,Oriental,,,,,74.0,,,,
2021.0,Oriental,,,,,40.0,,,,
2021.0,Atlántica,Delincuentes comunes,Igual,,,20.0,Positiva,,,Centro derecha
2021.0,Bogotá,Delincuentes comunes,Peor,,,34.0,Positiva,,,Centro derecha
2021.0,Bogotá,Delincuentes comunes,Peor,,,30.0,Negativa,,,
2021.0,Oriental,,,,,49.0,,,,
2021.0,Central,Crimen organizado,Peor,,,32.0,Negativa,,,
2021.0,Central,,,,,47.0,,,,
2021.0,Oriental,Crimen organizado,Igual,,,26.0,Positiva,,,
2021.0,Oriental,Crimen organizado,Peor,,,45.0,Neutra,,,
2021.0,Bogotá,Crimen organizado,Peor,,,38.0,Neutra,,,Derecha
2021.0,Central,,,,,49.0,,,,
2021.0,Oriental,,,,,24.0,,,,
2021.0,Oriental,,,,,39.0,,,,
2021.0,Atlántica,,,,,37.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,33.0,Negativa,,,Centro izquierda
2021.0,Central,Delincuentes comunes,Peor,,,19.0,Positiva,,,Centro derecha
2021.0,Atlántica,,,,,57.0,,,,
2021.0,Pacífica,,,,,19.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,43.0,,,,
2021.0,Bogotá,,Peor,,,34.0,Negativa,,,
2021.0,Bogotá,Delincuentes comunes,Igual,,,26.0,Positiva,,,Centro derecha
2021.0,Bogotá,,,,,41.0,,,,
2021.0,Atlántica,Crimen organizado,Igual,,,47.0,Positiva,,,Centro
2021.0,Central,Crimen organizado,Igual,,,56.0,Positiva,,,
2021.0,Pacífica,Delincuentes comunes,Peor,,,56.0,,,,
2021.0,Bogotá,,,,,67.0,,,,
2021.0,Oriental,Ninguno,Mejor,,,21.0,Neutra,,,Derecha
2021.0,Oriental,,,,,52.0,,,,
2021.0,Oriental,Guerrillas,Igual,,,24.0,Positiva,,,Centro derecha
2021.0,Pacífica,Crimen organizado,Peor,,,30.0,Neutra,,,Centro
2021.0,Bogotá,Crimen organizado,Peor,,,56.0,Negativa,,,
2021.0,Central,,,,,57.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,40.0,Negativa,,,Centro izquierda
2021.0,Pacífica,,,,,32.0,,,,
2021.0,Oriental,,,,,47.0,,,,
2021.0,Bogotá,,,,,66.0,,,,
2021.0,Oriental,,,,,23.0,,,,
2021.0,Atlántica,,,,,29.0,,,,
2021.0,Bogotá,,,,,27.0,,,,
2021.0,Central,,,,,27.0,,,,
2021.0,Atlántica,,,,,41.0,,,,
2021.0,Oriental,Guerrillas,Peor,,,55.0,Positiva,,,
2021.0,Oriental,,,,,34.0,,,,
2021.0,Central,,,,,45.0,,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,59.0,Neutra,,,
2021.0,Oriental,Delincuentes comunes,Peor,,,47.0,Negativa,,,Centro izquierda
2021.0,Pacífica,,,,,21.0,,,,
2021.0,Central,,,,,45.0,,,,
2021.0,Oriental,Crimen organizado,Igual,,,30.0,Neutra,,,Derecha
2021.0,Atlántica,,,,,57.0,,,,
2021.0,Oriental,,,,,64.0,,,,
2021.0,Atlántica,,,,,44.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,54.0,Positiva,,,Izquierda
2021.0,Central,Delincuentes comunes,Peor,,,55.0,Positiva,,,Derecha
